2025-07-10T09:49:44.086+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\email\MailConfig.class]
2025-07-10T09:49:44.089+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\securityConfig\JwtFilter.class]
2025-07-10T09:49:44.103+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\securityConfig\JwtService.class]
2025-07-10T09:49:44.117+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\securityConfig\MyUserDetailsService.class]
2025-07-10T09:49:44.133+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\securityConfig\SecurityConfig.class]
2025-07-10T09:49:44.136+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\service\AppProperties.class]
2025-07-10T09:49:44.138+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\service\DataSeeder.class]
2025-07-10T09:49:44.140+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\service\login\UserLoginMethod.class]
2025-07-10T09:49:44.146+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\service\TeacherInvitationServiceImpl.class]
2025-07-10T09:49:44.155+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\service\teacherService\TeacherRegistrationServiceImpl.class]
2025-07-10T09:49:44.156+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\service\tenantService\TenantRegistrationImp.class]
2025-07-10T09:49:44.158+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\service\TokenServiceImpl.class]
2025-07-10T09:49:46.808+01:00  INFO 25724 --- [educompound] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-10T09:49:46.831+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2025-07-10T09:49:46.861+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.b.a.AutoConfigurationPackages        : @EnableAutoConfiguration was declared on a class in the package 'org.example'. Automatic @Repository and @Entity scanning is enabled.
2025-07-10T09:49:46.864+01:00 DEBUG 25724 --- [educompound] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Scanning for JPA repositories in packages org.example.
2025-07-10T09:49:47.028+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\data\repositories\AdminTenantRepository.class]
2025-07-10T09:49:47.030+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\data\repositories\ClassRoomRepository.class]
2025-07-10T09:49:47.035+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\data\repositories\FeeRepository.class]
2025-07-10T09:49:47.037+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\data\repositories\ParentRepository.class]
2025-07-10T09:49:47.040+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\data\repositories\PaymentRepository.class]
2025-07-10T09:49:47.045+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\data\repositories\ReportCardRepository.class]
2025-07-10T09:49:47.050+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\data\repositories\ResultRepository.class]
2025-07-10T09:49:47.051+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\data\repositories\SessionRepository.class]
2025-07-10T09:49:47.052+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\data\repositories\StudentRepository.class]
2025-07-10T09:49:47.052+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\data\repositories\TeacherRepository.class]
2025-07-10T09:49:47.053+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\data\repositories\TokenRepository.class]
2025-07-10T09:49:47.055+01:00 DEBUG 25724 --- [educompound] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\data\repositories\UserRepository.class]
2025-07-10T09:49:47.330+01:00 DEBUG 25724 --- [educompound] [restartedMain] ssPathScanningCandidateComponentProvider : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\service\TeacherInvitationServiceImpl.class]
2025-07-10T09:49:47.330+01:00 DEBUG 25724 --- [educompound] [restartedMain] ssPathScanningCandidateComponentProvider : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\service\teacherService\TeacherRegistrationServiceImpl.class]
2025-07-10T09:49:47.331+01:00 DEBUG 25724 --- [educompound] [restartedMain] ssPathScanningCandidateComponentProvider : Identified candidate component class: file [C:\Users\DELL USER\Desktop\EduCompound\target\classes\org\example\service\TokenServiceImpl.class]
2025-07-10T09:49:47.434+01:00  INFO 25724 --- [educompound] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 565 ms. Found 12 JPA repository interfaces.
